NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1178,서울특별시 강서구 마곡동,716,716,0,한솔솔파크,84.87,201309,30,"39,000",8,2005,양천로30길 77,서울특별시 강서구 마곡동 716,126.82331418689,37.569719911244
1179,서울특별시 강서구 염창동,292,292,0,동아,59.97,201309,30,"26,100",2,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
1180,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,127.1094,201309,29,"76,140",5,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1181,서울특별시 강서구 염창동,272-11,272,11,롯데캐슬,84.9519,201309,29,"49,200",15,2005,공항대로65길 21,서울특별시 강서구 염창동 272-11,126.86835517972,37.5507590570618
1182,서울특별시 강서구 내발산동,753,753,0,마곡수명산파크4단지,59.84,201309,29,"33,000",9,2008,수명로1길 16,서울특별시 강서구 내발산동 753,126.823351155728,37.5512348671569
1183,서울특별시 강서구 방화동,875,875,0,방화동동부센트레빌(875번지),84.97,201309,29,"39,500",14,2003,방화대로45길 32,서울특별시 강서구 방화동 875,126.814976041476,37.574703238848
1184,서울특별시 강서구 방화동,839,839,0,방화그린,39.76,201309,29,"16,000",3,1993,방화대로48길 40,서울특별시 강서구 방화동 839,126.818960346599,37.5747821264629
1185,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,127.1094,201309,29,"72,250",2,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1186,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,84.9903,201309,29,"59,928",5,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1187,서울특별시 강서구 화곡동,461-4,461,4,화곡예다움,64.21,201309,29,"23,050",4,2005,등촌로13자길 79,서울특별시 강서구 화곡동 461-4,126.853940891883,37.5367081513196
1188,서울특별시 강서구 염창동,290,290,0,벽산늘푸른,59.97,201309,28,"24,300",5,1998,양천로63길 52,서울특별시 강서구 염창동 290,126.866239117827,37.5580224101735
1189,서울특별시 강서구 방화동,861,861,0,홍익아파트,70.44,201309,28,"21,600",2,1999,양천로7길 8,서울특별시 강서구 방화동 861,126.80830104587,37.5733419990387
1190,서울특별시 강서구 방화동,860,860,0,마곡서광(치현마을),84.93,201309,28,"28,500",8,1998,양천로27길 129,서울특별시 강서구 방화동 860,126.819298295646,37.5793097745828
1191,서울특별시 강서구 방화동,841,841,0,장미,59.04,201309,28,"21,500",3,1994,양천로 125,서울특별시 강서구 방화동 841,126.81749374049,37.5742998188535
1192,서울특별시 강서구 방화동,817,817,0,동성,84.95,201309,28,"36,400",7,1993,금낭화로23길 8,서울특별시 강서구 방화동 817,126.812182127338,37.579602932122
1193,서울특별시 강서구 염창동,292,292,0,동아,59.97,201309,28,"27,000",12,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
1194,서울특별시 강서구 염창동,292,292,0,동아,59.97,201309,28,"27,000",2,1998,양천로69길 58,서울특별시 강서구 염창동 292,126.873119215493,37.5548515573392
1195,서울특별시 강서구 염창동,248-3,248,3,삼성하나로,59.26,201309,28,"22,500",4,1994,양천로73길 5,서울특별시 강서구 염창동 248-3,126.871906542332,37.5516297228771
1196,서울특별시 강서구 염창동,263,263,0,태진한솔,58.87,201309,28,"26,850",5,1994,공항대로71길 54,서울특별시 강서구 염창동 263,126.874025170747,37.5491303816883
1197,서울특별시 강서구 염창동,263,263,0,태진한솔,58.87,201309,28,"25,500",2,1994,공항대로71길 54,서울특별시 강서구 염창동 263,126.874025170747,37.5491303816883
1198,서울특별시 강서구 염창동,242-8,242,8,염창동예성그린캐슬,84.99,201309,28,"32,000",5,2005,양천로65길 46,서울특별시 강서구 염창동 242-8,126.867408015619,37.5553374966805
1199,서울특별시 강서구 염창동,281-22,281,22,염창1차한화꿈에그린,59.94,201309,28,"44,700",18,2005,공항대로75길 17,서울특별시 강서구 염창동 281-22,126.873143646461,37.5481830295131
1200,서울특별시 강서구 내발산동,742,742,0,마곡수명산파크1단지,84.82,201309,28,"39,000",8,2007,강서로47길 108,서울특별시 강서구 내발산동 742,126.830206010388,37.554378050436
1201,서울특별시 강서구 마곡동,1181,1181,0,마곡청구아파트,59.91,201309,28,"25,850",11,1998,양천로26길 103,서울특별시 강서구 마곡동 1181,126.821419397243,37.5729528003044
1202,서울특별시 강서구 마곡동,1525,1525,0,마곡푸르지오,84.8,201309,28,"41,800",4,2008,방화대로34길 88,서울특별시 강서구 마곡동 1525,126.821678241396,37.5699325188665
1203,서울특별시 강서구 등촌동,694,694,0,대림,89.975,201309,28,"43,000",16,1995,공항대로39길 100,서울특별시 강서구 등촌동 694,126.846655652033,37.5626461178697
1204,서울특별시 강서구 등촌동,713,713,0,대동황토방2,80.93,201309,28,"39,800",5,2003,공항대로55길 50,서울특별시 강서구 등촌동 713,126.862401758505,37.5551770674789
1205,서울특별시 강서구 등촌동,715,715,0,등촌동아이파크,84.9958,201309,28,"49,000",16,2004,등촌로 163,서울특별시 강서구 등촌동 715,126.859981715413,37.5439005769284
1206,서울특별시 강서구 가양동,448-1,448,1,가양강나루현대,59.76,201309,28,"33,400",4,1999,양천로 507,서울특별시 강서구 가양동 448-1,126.856971359725,37.5607561619781
1207,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,127.1094,201309,28,"74,590",3,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1208,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,102.9171,201309,28,"67,373",4,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1209,서울특별시 강서구 화곡동,925-5,925,5,풍원팰리스,43.8,201309,28,"20,000",3,2012,곰달래로20길 18,서울특별시 강서구 화곡동 925-5,126.842681024569,37.5293938746788
1210,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",114.98,201309,28,"72,500",11,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
1211,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201309,28,"50,500",18,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
1212,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201309,28,"52,800",3,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
1213,서울특별시 강서구 화곡동,1091,1091,0,화곡푸르지오,156.876,201309,28,"59,700",2,2002,화곡로13길 107,서울특별시 강서구 화곡동 1091,126.831442765438,37.5446220190794
1214,서울특별시 강서구 화곡동,1139,1139,0,초록,58.65,201309,28,"27,000",8,1998,강서로45다길 30-27,서울특별시 강서구 화곡동 1139,126.833623087174,37.545684414842
1215,서울특별시 강서구 화곡동,927-1,927,1,웰라이빌,79.87,201309,28,"24,200",3,2000,강서로5나길 104,서울특별시 강서구 화곡동 927-1,126.842739999797,37.5285700780833
1216,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,98.9994,201309,28,"67,090",9,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1217,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",59.98,201309,27,"40,000",6,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
1218,서울특별시 강서구 방화동,841,841,0,장미,49.2,201309,27,"20,000",8,1994,양천로 125,서울특별시 강서구 방화동 841,126.81749374049,37.5742998188535
1219,서울특별시 강서구 가양동,1475,1475,0,강변,34.44,201309,27,"15,900",7,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
1220,서울특별시 강서구 화곡동,1159,1159,0,"우장산아이파크,이편한세상",84.97,201309,27,"50,500",5,2008,강서로 266,서울특별시 강서구 화곡동 1159,126.838765589968,37.5493547358614
1221,서울특별시 강서구 내발산동,753,753,0,마곡수명산파크4단지,59.84,201309,27,"32,700",11,2008,수명로1길 16,서울특별시 강서구 내발산동 753,126.823351155728,37.5512348671569
1222,서울특별시 강서구 내발산동,759,759,0,마곡수명산파크6단지,84.82,201309,27,"38,000",4,2007,수명로2길 63,서울특별시 강서구 내발산동 759,126.825729445463,37.5503706507753
1223,서울특별시 강서구 염창동,254-2,254,2,이너스내안에,59.9,201309,27,"25,650",6,2004,양천로75길 22-21,서울특별시 강서구 염창동 254-2,126.876382201086,37.5507409739319
