자치구,법정동,사업구분,운영구분,진행단계,상태,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),용도지역,택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),공공공지면적(㎡),학교면적(㎡),기타면적(㎡),주용도,건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
동대문구,이문동,재개발(도시정비형),조합,조합설립인가,운영,464,39717.8,202075.19,준주거지역 (1차 역세권지역),0.0,0.0,0.0,0.0,0.0,0.0,0.0,공동주택 근린생활시설,30.9,450.51,13.0,40.0,4.0,899,366,899.0,366.0
성동구,금호동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,193,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로2가,재개발(도시정비형),조합,사업시행인가,운영,98,22380.0,143501.77,일반상업지역 준주거지역 제3종일반주거지역 제2종일반주거지역,13956.0,8424.0,0.0,0.0,0.0,0.0,0.0,업무시설 공동주택,60.0,1000.0,100.0,38.0,4.0,0,0,0.0,0.0
영등포구,당산동,재개발(도시정비형),공공지원자,정비계획 수립,일시중단,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
성북구,길음동,재개발(도시정비형),조합,조합설립인가,운영,85,8390.0,58381.53,일반상업지역 준주거지역,5705.0,2685.0,0.0,0.0,0.0,0.0,0.0,판매시설업무시설주거시설,56.36,667.12,103.0,34.0,6.0,234,80,234.0,80.0
서대문구,홍제동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,83,6506.0,39110.0,"일반상업, 준주거",5237.0,513.0,0.0,0.0,756.0,0.0,0.0,"공동주택,판매시설",59.98,648.0,125.0,0.0,0.0,0,0,0.0,0.0
서대문구,홍제동,재개발(도시정비형),조합,조합설립인가,운영,45,3069.0,27267.75,일반상업지역 2종일반주거지역,2282.2,573.6,0.0,0.0,141.6,0.0,71.6,주거복합,57.74,699.5,170.0,35.0,7.0,106,18,106.0,18.0
동작구,흑석동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,300,45229.0,137512.95,제2종일반주거지역(7층) 제2종일반주거지역(12층) 제3종일반주거지역 준주거지역 ,278.79,117.72,49.02,0.0,0.0,0.0,6.76,주상복합 및 업무시설,54.3,400.0,141.0,35.0,6.0,508,101,508.0,101.0
강동구,천호동,재개발(도시정비형),조합,일반분양승인,운영,1218,17281.0,154455.12,일반상업지역,1375.67,250.35,11.34,0.0,0.0,0.0,0.0,공동주택/판매시설/업무시설,60.0,793.0,11926.0,38.0,6.0,499,150,499.0,150.0
영등포구,문래동,재개발(도시정비형),공공지원자,정비구역지정,운영,0,96329.0,0.0,"준공업지역, 일반상업지역, 자연녹지지역",53328.0,36879.0,2222.0,3900.0,0.0,0.0,0.0,공동주택,0.0,0.0,0.0,0.0,0.0,809,41,809.0,41.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비구역지정,운영,29,4307.0,0.0,일반상업지역,2764.0,1543.0,0.0,0.0,0.0,0.0,0.0,"판매, 근린생활, 업무, 주거",48.0,5.4,70.0,22.0,2.0,54,0,54.0,0.0
용산구,한강로2가,재개발(도시정비형),조합,사업시행인가,운영,106,13963.1,70111.45,일반상업지역 준주거지역 제3종일반주거지역 제2종 일반주거지역,9400.0,4469.0,0.0,0.0,0.0,0.0,188.0,업무시설,41.18,828.65,100.0,30.0,4.0,218,29,218.0,29.0
서대문구,홍제동,재개발(도시정비형),공공지원자,정비계획 수립,운영,407,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,효창동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로3가,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로1가,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로3가,재개발(도시정비형),조합,조합설립인가,운영,467,71901.0,295581.83,제23종 일반주거 준주거지역 일반상업지역,41874.0,20238.0,3991.0,0.0,4597.0,0.0,1200.0,업무판매주거,59.13,800.0,120.0,35.0,4.0,678,99,678.0,99.0
영등포구,문래동,재개발(도시정비형),조합,사업시행인가,운영,33,2200.7,17024.11,준주거지역,1987.9,190.0,0.0,0.0,22.8,0.0,0.0,근린 및 주거,55.2,599.87,66.0,19.0,4.0,125,16,125.0,16.0
영등포구,신길동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,당산동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,970,2175.41,0.0,준공업지역.일반미관지구. 유통업무시설.지구단위계획구역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
서대문구,북아현동,재개발(도시정비형),공공지원자,정비계획 수립,운영,86,7078.0,0.0,준주거지역,6246.5,831.5,0.0,0.0,0.0,0.0,0.0,공동주택 및 근린생활시설 등,60.0,550.06,92.0,30.0,0.0,366,25,366.0,25.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,도림동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
서초구,방배동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로3가,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,9,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,문래동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
성동구,금호동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,160,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
은평구,대조동,재개발(도시정비형),공공지원자,정비구역지정,운영,0,37274.5,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
마포구,합정동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
은평구,신사동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
종로구,신문로1가,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,7,1237.1,22094.01,일반상업지역,1163.8,73.3,0.0,0.0,0.0,0.0,0.0,주상복합,75.9,1559.96,90.0,29.0,1.0,183,105,183.0,105.0
서대문구,홍제동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
강북구,미아동,재개발(도시정비형),조합,조합설립인가,운영,88,12870.0,75928.13,Unknown,0.0,2928.0,0.0,0.0,0.0,0.0,7.0,Unknown,0.0,799.58,130.0,39.0,5.0,326,234,326.0,234.0
동작구,사당동,재개발(도시정비형),공공지원자,정비구역지정,운영,146,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
구로구,구로동,재개발(도시정비형),조합,사업시행인가,운영,118,10832.4,49200.64,도시지역 제3종일반주거지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,공동주택(아파트) 및 부대복리시설 등,41.75,288.55,57.0,19.0,3.0,214,85,214.0,85.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
서대문구,남가좌동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
은평구,역촌동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
마포구,구수동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,청파동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,한강로3가,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,원효로1가,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
구로구,오류동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,94,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,영등포동,재개발(도시정비형),조합,조합설립인가,운영,102,23094.0,0.0,일반상업지역,18451.9,3698.1,0.0,0.0,0.0,0.0,944.0,주거 업무 판매시설,58.65,769.81,150.0,45.0,7.0,999,455,999.0,455.0
동작구,흑석동,재개발(도시정비형),조합,조합설립인가,운영,308,45229.0,137512.95,제2종일반주거지역(7층) 제2종일반주거지역(12층) 제3종일반주거지역 준주거지역,278.79,117.72,49.02,0.0,0.0,0.0,6.76,주상복함 및 업무시설,54.3,400.0,141.0,35.0,6.0,508,101,508.0,101.0
성동구,행당동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,81,11421.0,130525.14,일반상업지역,11421.0,729.6,0.0,0.0,0.0,0.0,0.0,주택 및 근린생활시설 등 ,48.17,799.99,170.0,55.0,7.0,477,154,477.0,154.0
강동구,천호동,재개발(도시정비형),조합,조합설립인가,운영,133,7613.0,77323.73,일반상업지역,6305.0,1308.0,0.0,0.0,0.0,0.0,0.0,일반상업,50.04,794.9,140.0,40.0,7.0,363,157,363.0,157.0
동대문구,전농동,재개발(도시정비형),공공지원자,정비구역지정,운영,135,21381.0,0.0,근린상업지역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
종로구,창신동,재개발(도시정비형),조합,조합설립인가,운영,43,2281.8,28707.27,일반상업지역 도시지역 ,2268.3,13.5,0.0,0.0,0.0,0.0,6.6,공동주택 오피스텔 판매시설,59.83,821.29,80.0,23.0,6.0,178,19,178.0,19.0
마포구,현석동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
용산구,갈월동,재개발(도시정비형),조합,조합설립인가,운영,99,17658.8,178995.0,일반상업지역도시환경정비구역,17658.8,200.2,0.0,0.0,2493.2,0.0,0.0,주거,59.5,859.0,120.0,34.0,6.0,456,109,456.0,109.0
중랑구,상봉동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,운영,122,12008.6,75911.1,도시지역 / 준주거지역,10384.3,724.3,0.0,0.0,900.0,0.0,0.0,주거/판매/근생,31.11,499.99,40.0,40.0,3.0,382,116,382.0,116.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비구역지정,운영,527,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
강북구,미아동,재개발(도시정비형),조합,사업시행인가,운영,199,24348.9,178256.55,공동주택근린생활시설판매시설,21240.3,3108.6,0.0,0.0,0.0,0.0,0.0,주거판매,34.98,499.26,130.0,37.0,5.0,681,239,681.0,239.0
영등포구,대림동,재개발(도시정비형),공공지원자,정비계획 수립,운영,0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,88,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
영등포구,신길동,재개발(도시정비형),공공지원자,정비계획 수립,운영,197,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
서대문구,홍은동,재개발(도시정비형),조합,사업시행인가,운영,0,11571.0,59481.89,제2종일반주거지역 제2종일반주거지역(7층) 제3종일반주거지역 준주거지역,8532.5,3038.5,0.0,0.0,0.0,0.0,0.0,공동주택 판매시설 공공시설 등,59.8,449.79,110.0,34.0,3.0,219,110,219.0,110.0
종로구,내자동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,106,20877.0,63897.71,제1종3종 일반주거지역 준주거지역 일반상업지역,18941.56,1246.14,385.0,304.3,0.0,0.0,0.0,공동주택 및 근린생활시설,47.09,334.03,70.0,19.0,3.0,266,55,266.0,55.0
중구,중림동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,109,8646.3,48297.05,"업무,공동주택,판매시설",6943.0,0.0,1283.3,0.0,420.0,0.0,0.0,주상복합,56.98,459.1,0.0,19.0,3.0,118,0,118.0,0.0
강북구,미아동,재개발(도시정비형),추진위원회,조합설립추진위원회승인,일시중단,194,23995.0,0.0,준주거지역,18331.0,4013.0,0.0,0.0,1651.0,0.0,0.0,"판매,업무,주거",60.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0
