자치구,법정동,진행단계,토지등 소유자 수,정비구역면적(㎡),건축연면적(㎡),택지면적(㎡),도로면적(㎡),공원면적(㎡),녹지면적(㎡),건폐율,용적률,높이(m),지상층수,지하층수,분양세대총수,임대세대총수,분양세대규모별분포,임대세대규모별분포
양천구,신월동,조합설립인가,0,98295.17,286767.0,73539.55,7814.22,12706.35,3041.219705882353,26.014252336448596,249.71,66.0,12.0,2.0,1684,544,1684.0,544.0
송파구,거여동,조합해산,1123,99175.1,284297.12,70394.8,12146.9,6230.9,3041.219705882353,18.84,274.9,838.6910112359551,33.0,4.197860962566845,1577,368,1577.0,368.0
강북구,미아동,조합설립인가,1582,179566.0,392076.19,152479.0,14806.0,10137.0,3041.219705882353,15.95,229.59,99.0,24.123711340206185,4.197860962566845,2366,504,2366.0,504.0
양천구,신정동,조합해산,559,87327.2,243473.09,61206.0,14058.8,788.7,2245.2,22.37,257.55,70.0,27.0,3.0,1285,0,1285.0,0.0
서대문구,홍은동,착공신고,385,36220.0,110158.0,36220.0,6988.0,2394.0,0.0,29.0,196.0,45.0,15.0,3.0,827,131,827.0,131.0
은평구,녹번동,조합해산,805,66094.0,192164.0,54310.0,5953.0,5831.0,3041.219705882353,25.92,238.15,59.0,20.0,3.0,1047,258,1047.0,258.0
성동구,성수동,조합설립인가,753,89828.0,217309.08,56270.0,18678.0,10584.0,3496.0,20.96,314.98,150.0,50.0,4.197860962566845,1310,269,1310.0,269.0
은평구,수색동,일반분양승인,792,69727.0,211065.62,55397.0,6534.0,2256.0,2594.0,21.88,231.86,65.0,20.0,4.0,1402,278,1402.0,278.0
양천구,신정동,이전고시,195,19599.5,60683.22,16249.4,6.3,2690.8,3041.219705882353,21.31,234.41,838.6910112359551,19.0,3.0,336,71,336.0,71.0
은평구,대조동,착공신고,1573,111665.3,363149.67,92088.1,12220.3,7356.9,3041.219705882353,24.83,243.48,75.0,25.0,4.0,2083,368,2083.0,368.0
동작구,노량진동,사업시행인가,586,73300.0,108105.29,44300.0,3242.0,13697.0,3041.219705882353,24.34,244.03,838.6910112359551,24.123711340206185,4.197860962566845,838,174,838.0,174.0
양천구,신정동,조합해산,464,54683.5,170225.73,44012.3,6589.4,3997.9,83.9,22.99,252.36,68.0,22.0,2.0,896,185,896.0,185.0
성동구,성수동,조합설립인가,1092,131980.0,273966.9,68176.0,22207.0,30200.0,3041.219705882353,17.63,317.01,150.0,50.0,4.197860962566845,1582,325,1582.0,325.0
동작구,흑석동,조합해산,502,74378.0,159213.07,5464.8,10199.4,4493.2,2269.6,30.09,205.19,7995.0,28.0,3.0,911,168,911.0,168.0
은평구,응암동,조합청산,141,36242.8,36242.8,29162.6,3785.1,3295.1,3041.219705882353,30.0,214.71,68.0,24.0,4.0,646,114,646.0,114.0
은평구,불광동,관리처분인가,1486,117939.0,386176.26,99420.0,6833.0,8881.0,3041.219705882353,19.6,235.01,68.0,24.0,3.0,2013,374,2013.0,374.0
은평구,증산동,관리처분인가,975,112573.0,265583.95,71157.0,16244.0,1996.0,9988.0,24.96,263.7,92.0,30.0,3.0,1412,292,1412.0,292.0
성북구,성북동,사업시행인가,361,75072.8,37918.07,62469.9,7847.7,4458.9,3041.219705882353,35.9,89.13,14.0,4.0,3.0,195,0,195.0,0.0
마포구,염리동,정비계획 수립,647,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
용산구,청파동,조합설립인가,460,32390.4,112533.03,26549.6,3060.3,5579.312872340426,3041.219705882353,25.72,249.86,80.0,25.0,3.0,581,116,581.0,116.0
은평구,수색동,관리처분인가,329,29884000.0,833.35,29884.0,9512.0,5579.312872340426,3041.219705882353,24.0,263.89,64.0,24.123711340206185,4.197860962566845,479,99,479.0,99.0
영등포구,도림동,조합청산,420,53378.0,1370052.81,53378.0,2937.0,1857.0,1963.0,15.28,247.41,31.0,30.0,3.0,689,147,689.0,147.0
은평구,불광동,조합청산,1018,77298.0,201877.98,58598.0,3367.0,7936.0,3041.219705882353,23.3,214.42,46.0,15.0,3.0,1185,147,1185.0,147.0
성동구,성수동,조합설립인가,960,114193.0,2697516.075544041,65005.0,28171.0,16768.0,3041.219705882353,18.35,316.78,150.0,24.123711340206185,4.197860962566845,1537,315,1537.0,315.0
동작구,노량진동,관리처분인가,417,40512.5,137273.18,31540.8,5554.7,1508.0,3041.219705882353,22.82,247.48,90.0,30.0,5.0,699,145,699.0,145.0
성동구,행당동,일반분양승인,536,48345.3,121304.0,33316.2,4131.0,10374.0,3041.219705882353,20.87,249.64,838.6910112359551,35.0,3.0,805,141,805.0,141.0
은평구,갈현동,관리처분인가,2649,238850.9,652769.93,175794.9,30137.0,4478.0,11586.0,32.59,230.43,62.0,22.0,6.0,3484,640,3484.0,640.0
마포구,아현동,준공인가,863,64357.7,2697516.075544041,53686.7,6568.4,3247.0,3041.219705882353,22.53,227.81,838.6910112359551,24.123711340206185,4.197860962566845,949,201,949.0,201.0
양천구,신월동,사업시행인가,138,11363.8,29411.9,25678.62,2906.6,821.4,3041.219705882353,20.9,253.88,56.0,20.0,2.0,175,36,175.0,36.0
마포구,염리동,조합해산,509,51748.3,148603.41,37197.2,7821.3,2824.8,3041.219705882353,21.21,244.1,71.0,25.0,4.0,767,160,767.0,160.0
은평구,녹번동,조합청산,519,39128.0,1286033.11,33834.0,1813.21,3127.79,3041.219705882353,23.34,244.99,59.0,20.0,3.0,770,182,770.0,182.0
성동구,성수동,조합설립인가,1332,194398.0,422268.26,105595.0,39800.0,33612.0,3041.219705882353,21.47,309.22,50.0,24.123711340206185,4.197860962566845,2414,495,2414.0,495.0
동대문구,답십리동,조합설립인가,553,17882.0,179241.6,14094.0,2093.0,1695.0,3041.219705882353,59.26,799.87,1021.0,29.0,9.0,493,125,493.0,125.0
영등포구,신길동,조합설립인가,888,116898.0,471.47,92.63,15357.0,9156.0,3041.219705882353,16.6,299.88,110.0,35.0,4.0,2105,681,2105.0,681.0
은평구,응암동,조합청산,1699,120765.2,362515.83,99598.6,13305.6,7247.0,537.0,22.06,239.37,72.0,23.0,3.0,2179,390,2179.0,390.0
동작구,대방동,관리처분인가,376,33613.0,2697516.075544041,22478.0,2533.5,6887.6,3041.219705882353,20.96,228.97,838.6910112359551,24.123711340206185,4.197860962566845,420,90,420.0,90.0
은평구,증산동,조합해산,827,78755.2,206742.9,55607.2,18652.0,4595.0,0.0,21.3,251.0,92.0,30.0,3.0,1149,237,1149.0,237.0
서대문구,홍은동,조합해산,269,229.34,73994.22,18560.0,2983.0,1391.0,3041.219705882353,29.7,246.97,61.0,21.0,3.0,497,75,497.0,75.0
서대문구,연희동,철거신고,521,55173.0,146775.0,37722.0,9850.0,3258.0,1036.0,21.92,246.72,5755.0,20.0,3.0,1002,206,1002.0,206.0
중구,신당동,조합설립인가,153,18651.0,54028.85,17672.0,375.0,5579.312872340426,3041.219705882353,34.47,161.53,28.0,7.0,6.0,315,0,315.0,0.0
성북구,돈암동,조합설립인가,527,47050.0,127865.64,35244.0,9453.0,2353.0,3041.219705882353,23.57,265.18,73.0,25.0,2.0,737,152,737.0,152.0
용산구,보광동,조합설립인가,1207,160258.0,535877.18,115341.0,29763.0,8128.0,0.0,30.89,226.98,73.0,22.0,7.0,1981,350,1981.0,350.0
동대문구,제기동,관리처분인가,198,24320.6,56302.97,17497.0,4006.1,2457.7,3041.219705882353,24.97,239.81,49.0,19.0,2.0,312,65,312.0,65.0
동대문구,이문동,관리처분인가,1470,148977.2,505257.98,44544.0,20861.6,11311.8,0.0,35.0,317.0,122.0,40.0,5.0,2700,928,2700.0,928.0
동대문구,답십리동,조합해산,1259,145976.0,396817.96,116693.8,15615.5,10476.0,1170.0,23.15,242.35,75.0,22.0,3.0,2656,452,2656.0,452.0
동작구,노량진동,사업시행인가,1081,132132.0,471972.52,106125.0,10237.0,9000.0,3041.219705882353,25.88,265.67,110.0,33.0,4.0,2461,531,2461.0,531.0
성북구,성북동,조합설립인가,1192,127899.0,338500.8,106566.0,7516.0,4875.0,4659.0,27.0,221.04,838.6910112359551,13.0,2.0,2044,348,2044.0,348.0
관악구,봉천동,조합청산,765,80836.0,221254.84,60689.0,19413.8,76.0,477.2,24.68,244.85,57.0,20.0,3.0,1237,247,1237.0,247.0
성북구,길음동,조합해산,1611,104979.3,331861.08,71423.0,17360.4,7769.5,5473.4,22.12,299.7,115.0,39.0,4.0,1660,339,1660.0,339.0
동대문구,답십리동,착공신고,155,13850.9,44577.97,12307.6,869.3,674.0,3041.219705882353,27.18,243.11,62.0,21.0,2.0,268,58,268.0,58.0
서대문구,연희동,조합설립추진위원회승인,0,49745.0,104476.84,44263.4,1054.2,4427.4,3041.219705882353,21.19,238.34,75.0,27.0,2.0,844,223,844.0,223.0
동작구,흑석동,착공신고,1042,103497.4,168683.95,77410.3,16179.4,9549.4,3041.219705882353,23.67,244.77,572.0,20.0,5.0,1130,338,1130.0,338.0
관악구,봉천동,조합설립인가,668,74264.5,148486.0,58782.2,9079.7,5134.1,3041.219705882353,23.46,270.83,884.0,27.0,4.0,1311,260,1311.0,260.0
용산구,서계동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
강북구,번동,정비계획 수립,521,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
강동구,천호동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
관악구,봉천동,사업시행인가,493,79832.0,160576.78,35303.1,948.8,5579.312872340426,3999.8,27.36,259.53,83.0,28.0,3.0,694,161,694.0,161.0
마포구,도화동,조합설립인가,162,3280.5,44403.7,3280.5,76.5,5579.312872340426,3041.219705882353,51.36,869.84,23.0,23.0,7.0,100,0,100.0,0.0
성동구,용답동,일반분양승인,627,73341.0,231651.08,53959.0,9173.0,17796.0,3041.219705882353,11.6,249.86,838.6910112359551,35.0,2.0,1033,218,1033.0,218.0
동작구,대방동,관리처분인가,437,55742.9,154331.84,42080.9,11424.0,0.0,0.0,20.08,229.44,300.0,29.0,3.0,1007,172,1007.0,172.0
은평구,응암동,조합청산,450,43938.0,133165.9,35246.0,3621.0,3292.0,3041.219705882353,19.2,227.49,68.0,23.0,5.0,745,127,745.0,127.0
영등포구,신길동,조합청산,302,50759.3,134054.78,39762.6,6158.0,1929.8,608.6,17.69,228.9,77.0,25.0,3.0,836,151,836.0,151.0
은평구,수색동,조합해산,593,61898.0,178408.54,45496.0,7294.0,3580.0,3041.219705882353,23.98,256.29,7135.0,25.0,3.0,989,203,989.0,203.0
영등포구,신길동,조합청산,758,93728.5,259940.09,8220.36,6664.4,1223.4,3604.1,17.18,239.58,7790.0,27.0,3.0,1391,130,1391.0,130.0
영등포구,신길동,조합해산,239,27844.0,84690.31,22841.8,2049.6,1732.9,1062.5,21.22,255.66,7977.0,28.0,2.0,501,111,501.0,111.0
관악구,신림동,철거신고,714,95797.5,138338.55,58241.2,5434.8,22977.5,1105.7,25.16,248.71,7955.0,28.0,7.0,1252,183,1252.0,183.0
관악구,봉천동,조합해산,416,28259.0,2697516.075544041,23387.8,2012.8,2858.4,0.0,23.62,220.9,52.0,24.123711340206185,4.197860962566845,430,89,430.0,89.0
성북구,종암동,정비계획 수립,0,203808.54305936073,2697516.075544041,47372.16765550239,9473.020424528302,5579.312872340426,3041.219705882353,26.014252336448596,253.93227906976745,838.6910112359551,24.123711340206185,4.197860962566845,0,0,0.0,0.0
동대문구,휘경동,조합해산,111,12915.0,41228.86,11051.0,1217.0,647.0,3041.219705882353,25.67,261.52,57.0,20.0,2.0,248,51,248.0,51.0
용산구,효창동,조합청산,106,10030.0,2697516.075544041,8796.6,692.5,479.1,61.8,22.87,234.84,55.0,18.0,2.0,187,0,187.0,0.0
구로구,고척동,관리처분인가,270,41675.0,130987.56,33683.0,3697.0,4295.0,3041.219705882353,20.87,269.89,80.0,25.0,3.0,786,161,786.0,161.0
용산구,효창동,조합해산,263,18256.56,54761.36,15451.56,1026.0,917.0,3041.219705882353,31.14,214.01,42.0,14.0,3.0,327,58,327.0,58.0
성북구,안암동,착공신고,133,11189.2,35024.9,9985.9,488.3,715.0,3041.219705882353,25.18,192.4,34.0,24.123711340206185,4.197860962566845,181,0,181.0,0.0
성북구,장위동,관리처분인가,650,94245.0,286514.82,733.69,7766.0,5579.312872340426,10227.0,19.04,264.22,94.0,23.0,3.0,1506,320,1506.0,320.0
성동구,금호동,조합청산,932,66379.5,2100384.69,66379.5,2959.2,3990.0,3041.219705882353,21.41,255.52,5985.0,12.0,4.0,1193,137,1193.0,137.0
성북구,장위동,조합해산,615,89853.4,234491.21,57160.7,24377.8,1888.51,7017.7,19.15,275.35,99.0,32.0,2.0,1286,276,1286.0,276.0
동작구,흑석동,조합해산,209,33310.0,2697516.075544041,27290.0,4337.0,1683.0,3041.219705882353,21.0,218.0,838.6910112359551,25.0,2.0,434,74,434.0,74.0
강북구,미아동,관리처분인가,482,57553.4,157885.93,42772.0,11433.4,3156.0,3041.219705882353,25.1,229.06,9.0,29.0,3.0,858,179,858.0,179.0
성북구,정릉동,조합설립인가,290,36333.9,118000.19,26782.1,5970.1,2046.7,900.0,16.54,279.78,838.6910112359551,30.0,6.0,660,158,660.0,158.0
성북구,장위동,조합설립인가,1593,189450.0,401598.28,63237.0,21509.0,27802.0,4324.0,60.0,236.0,100.0,33.0,4.197860962566845,2464,420,2464.0,420.0
강북구,미아동,착공신고,690,59465.0,149658.84,4760.74,6604.1,3000.7,0.0,60.0,227.7,73.0,21.0,3.0,843,174,843.0,174.0
영등포구,신길동,조합해산,431,52716.0,144744.29,40878.7,5754.5,2906.8,3113.1,22.01,263.12,82.0,29.0,3.0,824,184,824.0,184.0
동대문구,이문동,일반분양승인,1571,137372.0,669722.26,120457.0,19649.0,12967.0,0.0,26.21,357.18,143.0,41.0,6.0,4140,1308,4140.0,1308.0
송파구,마천동,조합설립인가,1601,133830.0,411564.83,89222.0,20216.0,12725.0,0.0,22.85,270.05,838.6910112359551,25.0,5.0,1984,400,1984.0,400.0
양천구,신월동,준공인가,1761,174801.0,408078.23,111940.6,24547.6,12573.2,3041.219705882353,22.06,236.35,65.0,24.123711340206185,4.197860962566845,2417,415,2417.0,415.0
성동구,금호동,조합해산,365,35827.6,108107.99,31296.7,1988.8,1805.6,3041.219705882353,24.81,2.0,50.0,3.0,15.0,606,104,606.0,104.0
용산구,효창동,조합청산,217,22911.5,70299.75,18216.5,2172.1,2522.9,3041.219705882353,20.84,245.28,66.0,22.0,4.0,396,82,396.0,82.0
영등포구,신길동,조합청산,319,32287.3,95907.63,25632.0,1707.0,3478.0,1469.9,18.76,254.45,769.0,27.0,3.0,522,119,522.0,119.0
동대문구,제기동,관리처분인가,380,33485.7,117027.93,3348.57,356.97,5579.312872340426,3041.219705882353,29.88,249.96,838.6910112359551,25.0,2.0,753,156,753.0,156.0
